"name","category","description","lactose"
"New! Fresh Blueberry French Toast","French Toast","Six triangles topped with fresh blueberries, whipped butter &amp; dusted with powdered sugar.",True
"Sweet &amp; Spicy Meatball, Small (3-4 inch)","Hot Specialty Subs","Topped with Captain Sorensen's Datil Pepper Sauce, red pepper flakes and provolone cheese. *Contains Gluten",True
"Magic Shroom","Burgers","Creamy goat cheese, field mushrooms, lettuce, tomato, onion, mayo &amp; basil pesto sauce.",True
"A5. Gối Cuộn Gà Nướng ","Appetizers","2 pieces. Grilled chicken spring rolls. Spring roll is rolled in rice paper with vermicelli and fresh vegetables. serve with peanut sauce.",False
"It's - It Ice Cream Sandwich","Dessert","Vanilla or Mint ice cream, sandwiched between two oatmeal cookies and dunked in chocolate. The original San Francisco treat.",True
"Tod Mun Pla","Appetizers","Deep fried fish cake served with cucumber salad.",False
"Superfood Salad","Fresh Salads^","chopped kale, shredded veggies, edamame, cranberries, cashews, sesame seeds, tahini vinaigrette",False
"Double Stack™","Biggie Deals","Two patties of fresh, never frozen beef with cheese, ketchup, mustard, pickle, and onion. It’s double the fresh beef, stacked with deliciousness.",True
"Well Beginnings Hypoallergenic Baby Wipes Green Tea and Cucumber - 64.0 ea","Baby & Kids","Well Beginnings Hypoallergenic Green Tea & Cucumber Wipes 64 wipes, 6.3"" x 8"" (15.2cm x 20.3cm) Dermatologist Tested, Alcohol Free Not made with Parabens or Phthalates Made in US",False
"Manicotti Pasta","Pasta","Three pasta shell rolls with three cheese mix. Topped with tomato sauce and mozzarella cheese. Served with bread.",True
"Ebi","Nigiri","2 Pieces.",False
"Refrescos embotellados","Bebidas","Coke, Diet Coke, Sprite, Water",False
"N3 Pad Kee Mao (Drunken Noodle)","Noodle","Wide rice noodles stir fried with egg, carrot, and broccoli in sweet black soy sauce.",False
"Chocolate Cream Cold Brew","Cold Coffees","Starbucks® Cold Brew sweetened with vanilla syrup and topped with a silky, chocolaty cream cold foam.",True
"Creamer Packet","Condiments","Limit of 3",True
"Dip Sampler Supreme","Starters","Salsa, guacamole,  choribean, ceviche dip with chips ",False
"Humble Pack Donuts","Donuts","Up to 6 flavors.",False
"Macadamia Crusted Mahi-Mahi Dinner","Luau Dinners","Two mahi-mahi filets crusted with macadamia nuts &amp; panko on grilledspinach, garnished with mango pineapple salsa, served with chopped salad",False
"All American Burger*","Picked for you","two grilled quarter-pound beef patties, american cheese, shredded lettuce, tomato, red onion, pickles, bark + bite sauce [980 cal] ",True
"Roast Turkey &amp; Swiss Sandwich","Market Fresh® Sandwiches","Sliced roast turkey with Swiss cheese, lettuce, tomato, red onion, spicy brown honey mustard and mayo on thick sliced honey wheat bread. Visit arbys.com for nutritional and allergen information.",True
"IMPOSSIBLE™ Fajita Bowl","Bowls","IMPOSSIBLE™ Meat Made From Plants and grilled fajita veggies with cilantro lime rice, black beans, salsa verde, and chile corn salsa served in a bowl or wrapped in a flour or whole wheat tortilla. [Cal 580]For additional ingredients or substitutions, please order a Create Your Own Entree.",False
"Mentos Gum Curvy Bottle Wintergreen - 45.0 ea","Grocery","35%25 fewer calories than sugared gum. Calorie content of this size piece has been reduced from 6 to 4 calories. With green tea extract Artificially flavored Made in Turkey",False
"Chick-fil-A® Grilled Chicken Club Sandwich","Entrées","A lemon-herb marinated boneless breast of chicken, grilled for a tender and juicy backyard-smokey taste, served on a toasted Multigrain Brioche bun with Colby Jack cheese, applewood smoked bacon, Green Leaf lettuce and tomato. Pairs well with Honey Roasted BBQ Sauce. ",True
"Cinnabon Delights® 2 Pack","Sides","Warm donut holes filled with Cinnabon® signature cream cheese frosting, and dusted in Makara Cinnamon sugar",True
"Stella Artois, 12pk-12oz Bottle Beer (5.2% ABV)","Beer","Enjoy the European way with the #1 best-selling Belgian beer in the world. With its wonderful floral aroma, well-balanced malt sweetness, crisp hop bitterness, and a soft dry finish, Stella Artois is the perfect beer to pair with food and friends. At Stella Artois, we are extremely proud of our Belgian roots. Our story can be seen on every bottle of Stella Artois. If you look closely, hints of our origins are proudly displayed.",False
"Mild Picante Salsa","Condiments","Limit of 2",False
"Fridays Signature Whiskey-Glazed Sesame Chicken Strips","Appetizers  Wings","Panko-crusted chicken breast strips tossed in our Signature Whiskey-Glaze and sesame seeds.",False
"50 Tenders Tailgate Meal","Party Meals","50 Tenders, 5 Family Sides, 1 Jumbo Gravy, 12 Biscuits or 12 Rolls, &amp; 2 Gallons of Tea.",False
"Project Sunrise Coffee Tote (96 oz)","Families, Groups &amp; Grocery","Bring our award winning Project Sunrise coffee to your home or office with our new 96 oz. coffee tote.  Serves 10-12.  Project Sunrise supports the female farmers in Huila, Columbia.  ",False
"Omega Burger","Picked for you","Topped with American and mozzarella cheese, bacon, and raw onions on a Kaiser roll. Omega burgers are 1/2 pound of 100 percent USDA. Served with choice of French fries, fruit, or cup of soup.",True
"Cod Dinner","Fish","Includes french fries or broasted potatoes, garlic bread and coleslaw.",False
"Spicy Italian","Salads","Our Spicy Italian salad  is a combo of pepperoni and Genoa salami. Basically, the ideal Italian sub, but transformed into a salad. Genius, right?",False
"Casey's Spring Water 3L","Water","Stay refreshed &amp; hydrated with Casey's Purified Drinking water. Add one to your basket, or order, today!",False
"Crazy Combo (Crazy Bread and Crazy Sauce)","Sides","8 bread sticks with flavors of butter and garlic, then sprinkled with parmesan cheese and served with crazy Sauce.",True
"Opti-Free PureMoist Rewetting Drops - 0.4 fl oz","Contact Lenses","For use with silicone hydrogel and soft (hydrophilic) contact lenses. Sterile Works during lens wear to moisturize your eyes and lenses. Opti-Free PureMoist Rewetting Drops moistens and refreshes your lenses for greater wearing comfort. It also helps remove particulate material that may cause minor irritation, discomfort, dryness, blurring and itchiness while wearing your lenses. Only Opti-Free PureMoist Rewetting Drops contains patented RLM-100, which helps prevent protein deposit buildup on",False
"Bourbon Bacon Cheeseburger Combo","Combos","A quarter-pound* of fresh, never-frozen beef topped with Applewood smoked bacon, American cheese, crispy onions, and a sweet, smoky bourbon bacon sauce that is, essentially, a sauce made with real bourbon and real bacon. Read that part about the sauce again, and we’ll see you soon.",True
"Black Forest Ham, Egg &amp; Cheese Wrap","Breakfast","Helllooo delicious! Enjoy a Spinach wrap filled with American cheese and a double portion of savory Black Forest ham and egg. What a tasty way to start the day!",True
"Grilled Chicken  Footlong Pro (Double Protein)","Sandwiches","Tender grilled chicken loaded on our Hearty Multigrain bread with your choice of veggies. A little lettuce, tomatoes, onions and baby spinach, and you can’t go wrong.",False
"Marshmallow Dream Bar","Bakery","This crispy, chewy marshmallow bar, made of ooey-gooey, soft marshmallows, crispy rice, creates a sweet treat that’ll make you snack like a kid again.",False
"Nestle Triple Chocolate Sundae Cone King Size 7.5oz","Ice Cream","The Original Sundae Cone in king size! This indulgent treat is the ultimate chocolate sundae cone, featuring a creamy chocolatey center topped with fudge and chocolatey chips.",False
"Arañitas Supremas","Complementos","Arañitas con Queso y Bacon",True
"Mac It Yours","Kids","Macaroni &amp; creamy cheese sauce.(Refills for this item will not be available during this time.)",True
"Sweet N Sour Dipping Sauce","Condiments","Limit of 2",False
"Aji de Gallina","Seafood &amp; Meat","Peru’s Most Precious DishAjí amarillo chicken stew, fresh cheese, pecans, rice, botija olives &amp; egg",False
"Fudge Brownies","Sides &amp; Desserts","Rich, fudgy chocolate Brownies dusted with powdered sugar. 24 count *Calories listed are by slice",True
"Classic Coffee","Milk Tea (奶茶)","Hot available. We use non-dairy creamer.",False
"Curly Fries","Sides","Crispy curly potato goodness fried to perfection and tossed with our own special seasoning. 500 cal",False
